id,label,statement,subject,speaker,job_title,state_info,party_affiliation,barely_true_count,false_count,half_true_count,mostly_true_count,pants_on_fire_count,context,binary_label,clean_statement,word_count
11972.json,true,Building a wall on the U.S.-Mexico border will take literally years.,immigration,rick-perry,Governor,Texas,republican,30,30,42,23,18,Radio interview,real,building wall usmexico border take literally years,7
11685.json,false,Wisconsin is on pace to double the number of layoffs this year.,jobs,katrina-shankland,State representative,Wisconsin,democrat,2,1,0,0,0,a news conference,fake,wisconsin pace double number layoffs year,6
11096.json,false,Says John McCain has done nothing to help the vets.,"military,veterans,voting-record",donald-trump,President-Elect,New York,republican,63,114,51,37,61,comments on ABC's This Week.,fake,says john mccain done nothing help vets,7
5209.json,half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,"medicare,message-machine-2012,campaign-advertising",rob-cornilles,consultant,Oregon,republican,1,1,3,1,1,a radio show,real,suzanne bonamici supports plan cut choice medicare advantage seniors,9
9524.json,pants-fire,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.","campaign-finance,legal-issues,campaign-advertising",state-democratic-party-wisconsin,,Wisconsin,democrat,5,7,2,2,7,a web video,fake,asked reporter whether hes center criminal scheme violate campaign laws gov scott walker nodded yes,15
5962.json,true,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,"federal-budget,pensions,retirement",brendan-doherty,,Rhode Island,republican,1,2,1,1,0,a campaign website,real,past five years federal government paid million retirement disability benefits deceased former federal employees,14
7070.json,true,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,"county-budget,county-government,education,taxes",stand-children-tennessee,Child and education advocacy organization.,Tennessee,none,0,0,0,0,0,in a post on Facebook.,real,says tennessee law requires schools receive half proceeds million per year halfcent increase shelby county sales tax,17
1046.json,barely-true,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.","economy,stimulus",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a press release.,fake,says vice president joe biden admits american people scammed economic stimulus package,12
12849.json,true,Donald Trump is against marriage equality. He wants to go back.,"gays-and-lesbians,marriage",sean-patrick-maloney,Congressman for NY-18,New York,democrat,0,0,0,0,0,a speech at the Democratic National Convention,real,donald trump marriage equality wants go back,7
13270.json,barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,mike-pence,Governor,Indiana,republican,8,10,12,5,0,"comments on ""Meet the Press""",fake,know half hillary clintons meetings secretary state given major contributors clinton foundation,12
6649.json,barely-true,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,elections,mike-berlon,,Georgia,democrat,1,0,0,0,0,an article,fake,know democrats georgia republicans know fact,6
2508.json,barely-true,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,"ethics,message-machine",bill-flores,Businessman,Texas,republican,2,0,0,0,0,a TV ad.,fake,politifact texas says congressman edwards attacks bill flores false,9
